[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/urls/resolvers.py first seen with mtime 1665716337.4626267
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/requests/sessions.py first seen with mtime 1665716340.5902479
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/db/models/utils.py first seen with mtime 1665716337.3656788
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/db/models/fields/related.py first seen with mtime 1665716337.3693707
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/signal.py first seen with mtime 1662401187.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/email/headerregistry.py first seen with mtime 1662401187.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/urllib3/util/connection.py first seen with mtime 1667611009.9343412
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/tempfile.py first seen with mtime 1662401187.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/contrib/admin/templatetags/base.py first seen with mtime 1665716335.916046
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/unittest/signals.py first seen with mtime 1662401188.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/allauth/utils.py first seen with mtime 1665262641.7227163
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/allauth/account/admin.py first seen with mtime 1665262641.724265
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/requests/auth.py first seen with mtime 1665716340.5826304
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/dataclasses.py first seen with mtime 1662401187.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/urllib3/_collections.py first seen with mtime 1667611009.92026
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/email/charset.py first seen with mtime 1662401187.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/concurrent/futures/thread.py first seen with mtime 1662401187.0
[05/Jan/2023 20:12:59] DEBUG [django.utils.autoreload:385] File /Users/zhaohanzhang/Desktop/Classify/classify/apps.py first seen with mtime 1669146897.0
